Country Name,Country Code,2019,2020,2021
Iraq,IRQ,5621.181695,4332.304125,4775.377454
Iceland,ISL,68853.71522,59200.17794,68727.63666
Israel,ISR,44452.23256,44846.7916,52170.71186
Italy,ITA,33673.75096,31911.03579,35657.49756
Jamaica,JAM,5626.171177,4897.265897,5183.581305
Jordan,JOR,4205.563654,4042.76935,4103.258966
Japan,JPN,40458.00188,39918.16756,39312.66037
Kazakhstan,KAZ,9812.595808,9121.637138,10373.78979
Kenya,KEN,1970.105143,1936.424589,2081.799855
Kyrgyz Republic,KGZ,1374.032105,1182.5217,1276.700365
Cambodia,KHM,1671.385385,1577.911747,1625.23502
Kiribati,KIR,1432.178985,1430.551574,1606.462514
St. Kitts and Nevis,KNA,23219.33142,18566.09559,18082.61019
"Korea, Rep.",KOR,31902.4169,31721.29891,34997.78164
Kuwait,KWT,30667.34822,24300.32944,
Latin America & Caribbean (excluding high income),LAC,8181.622747,6789.39265,7728.033309
Lao PDR,LAO,2598.505523,2593.355097,2535.623432
Lebanon,LBN,8985.572499,5599.957523,4136.146347
Liberia,LBR,665.8784476,597.5296919,675.6631858
Libya,LBY,10542.14929,7568.042011,6357.19555
St. Lucia,LCA,11726.76977,8458.162761,9414.226231
Latin America & Caribbean,LCN,8707.187368,7289.957037,8327.60519
Least developed countries: UN classification,LDC,1100.027046,1095.770648,1164.918316
Low income,LIC,750.5555303,736.932217,793.945722
Liechtenstein,LIE,167019.6181,157754.9544,
Sri Lanka,LKA,4082.69462,3893.841515,4013.687657
Lower middle income,LMC,2386.488589,2268.982746,2572.705144
Low & middle income,LMY,4952.231133,4723.798867,5494.396981
Lesotho,LSO,1102.56487,989.8471707,1094.098185
Late-demographic dividend,LTE,9979.254112,9706.843103,11465.85777
Lithuania,LTU,19595.14157,20339.52127,23723.34025
Luxembourg,LUX,112621.8213,117370.4969,133590.147
Latvia,LVA,17945.22222,18207.13964,21148.16294
"Macao SAR, China",MAC,83183.16661,37646.3162,43873.59116
St. Martin (French part),MAF,,,
Morocco,MAR,3498.573975,3258.121338,3795.380127
Monaco,MCO,199377.4818,182538.6383,234315.4605
Moldova,MDA,4493.370303,4500.624464,5230.661733
Madagascar,MDG,512.2796597,462.4042237,500.511032
Maldives,MDV,11118.55654,7282.358489,10366.29336
Middle East & North Africa,MEA,7337.350935,6491.499128,7569.089437
Mexico,MEX,10145.17018,8655.000682,10045.6805
Marshall Islands,MHL,5188.971114,5567.972727,6172.145065
Middle income,MIC,5448.65078,5206.168295,6074.084921
North Macedonia,MKD,6070.388054,5965.450232,6694.641126
Mali,MLI,840.175765,822.906144,873.7948624
Malta,MLT,31198.24145,28977.56557,33486.67198
Myanmar,MMR,1295.201448,1477.45287,1209.926942
Middle East & North Africa (excluding high income),MNA,3438.715899,3093.878473,3573.165173
Montenegro,MNE,8909.653336,7677.152226,9465.703999
Mongolia,MNG,4394.947147,4041.174196,4566.140154
Northern Mariana Islands,MNP,23707.32881,,
Mozambique,MOZ,508.1636746,449.9552098,491.8391128
Mauritania,MRT,1839.96445,1868.466574,2166.046799
Mauritius,MUS,11405.72682,9007.419102,9106.237202
Malawi,MWI,584.3628673,628.699482,634.8356601
Malaysia,MYS,11132.02393,10160.78325,11109.26184
North America,NAC,63198.70132,61451.97615,68369.66279
Namibia,NAM,5126.176144,4251.172766,4865.557765
New Caledonia,NCL,34797.51866,34800.75951,37159.54677
Niger,NER,550.9635555,564.8220018,590.6294548
Nigeria,NGA,2204.181574,2074.613928,2065.749068
Nicaragua,NIC,1890.273065,1863.109257,2045.535402
Netherlands,NLD,52476.27325,52162.57012,57767.87881
Norway,NOR,75719.7529,67329.67779,89154.27609
Nepal,NPL,1185.682675,1139.190277,1208.218534
Nauru,NRU,9786.026526,9307.886768,10648.14139
New Zealand,NZL,42865.23364,41596.5055,48781.02663
OECD members,OED,39531.66035,38326.8576,42446.85932
Oman,OMN,19132.15227,16707.62301,19509.46646
Other small states,OSS,13540.40029,11683.18606,13878.81484
Pakistan,PAK,1437.165907,1322.315036,1505.010193
Panama,PAN,15826.08235,12569.17154,14617.60448
Peru,PER,6955.809959,6056.343903,6621.574336
Philippines,PHL,3413.847924,3224.422551,3460.530963
Palau,PLW,15567.09087,14016.2475,12083.88815
Papua New Guinea,PNG,2593.80465,2446.066306,2672.94579
Poland,POL,15699.91135,15816.9894,17999.90995
Pre-demographic dividend,PRE,1463.306586,1337.464153,1418.593326
Puerto Rico,PRI,32916.8668,31393.90737,32640.71034
"Korea, Dem. People's Rep.",PRK,,,
Portugal,PRT,23330.81729,22242.40642,24567.50927
Paraguay,PRY,5807.838794,5353.348065,5891.499965
West Bank and Gaza,PSE,3656.858271,3233.568638,3663.969055
Pacific island small states,PSS,4233.413675,3707.310581,3643.845437
Post-demographic dividend,PST,45700.93813,44474.54975,49223.59503
French Polynesia,PYF,20023.5047,18910.38013,19914.60351
Qatar,QAT,62637.27511,52315.66008,66838.35743
Romania,ROU,12958.07556,13047.43206,14858.22943
Russian Federation,RUS,11536.25098,10169.08691,12194.77734
Rwanda,RWA,806.8799811,774.6892594,822.3479886
South Asia,SAS,1962.802875,1852.300088,2149.821595
Saudi Arabia,SAU,22430.23823,19539.56581,23185.87079
Sudan,SDN,748.0109253,608.3325195,751.8213501
Senegal,SEN,1462.354333,1490.203137,1636.893209
Singapore,SGP,65831.18943,60729.45035,72794.00302
Solomon Islands,SLB,2398.772757,2222.465636,2304.844567
Sierra Leone,SLE,506.6068944,493.4787775,480.0392113
El Salvador,SLV,4280.288404,3903.395839,4551.184661
San Marino,SMR,47287.39839,45320.20872,
Somalia,SOM,405.7867633,416.2177747,446.9815596
Serbia,SRB,7417.203649,7733.802869,9230.178316
Sub-Saharan Africa (excluding high income),SSA,1606.558195,1492.134018,1632.087531
South Sudan,SSD,,,
Sub-Saharan Africa,SSF,1607.921605,1493.100691,1633.180754
Small states,SST,12427.57674,10702.96169,12588.92779
Sao Tome and Principe,STP,1991.738264,2161.310196,2360.543554
Suriname,SUR,6690.044786,4796.533314,4869.134226
Slovak Republic,SVK,19383.48104,19545.74282,21391.92533
Slovenia,SVN,26016.07868,25545.241,29291.40062
Sweden,SWE,51939.42974,52837.90398,61028.73806
Eswatini,SWZ,3843.377391,3372.895601,3978.403528
Sint Maarten (Dutch part),SXM,,,
Seychelles,SYC,17253.50566,12808.98747,14653.30939
Syrian Arab Republic,SYR,1116.679246,533.3852317,
Turks and Caicos Islands,TCA,27795.14856,20882.26127,20908.5827
Chad,TCD,701.6212166,643.7722213,685.6902841
East Asia & Pacific (IDA & IBRD countries),TEA,8259.795605,8354.065182,9880.09607
Europe & Central Asia (IDA & IBRD countries),TEC,9019.717374,8423.196002,9842.052265
Togo,TGO,875.9326592,897.1945754,973.2061291
Thailand,THA,7630.03961,6990.935503,7066.190546
Tajikistan,TJK,889.0202624,852.3336702,897.0475103
Turkmenistan,TKM,7344.648233,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,8526.265783,7081.447046,8108.91587
Timor-Leste,TLS,1584.263844,1660.30834,2741.393931
Middle East & North Africa (IDA & IBRD countries),TMN,3436.13153,3092.20556,3572.065525
Tonga,TON,4879.017342,4606.064552,4426.000637
South Asia (IDA & IBRD),TSA,1962.802875,1852.300088,2149.821595
Sub-Saharan Africa (IDA & IBRD countries),TSS,1607.921605,1493.100691,1633.180754
Trinidad and Tobago,TTO,15690.9631,13871.79822,16032.50277
Tunisia,TUN,3477.883777,3497.68141,3807.13915
Turkiye,TUR,9103.043375,8561.070948,9661.235975
Tuvalu,TUV,4949.173888,4973.774561,5632.002993
Tanzania,TZA,1052.021729,1042.09668,1099.287598
Uganda,UGA,823.1389505,846.7672013,883.8920323
Ukraine,UKR,3661.456299,3751.740723,4835.571777
Upper middle income,UMC,9534.005113,9157.820016,10828.05069
Uruguay,URY,17859.9315,15619.54266,17313.18835
United States,USA,65120.39466,63530.63348,70248.629
Uzbekistan,UZB,1784.009816,1749.655815,1983.064723
St. Vincent and the Grenadines,VCT,8674.371009,8335.256476,8666.387041
"Venezuela, RB",VEN,,,
British Virgin Islands,VGB,,,
Virgin Islands (U.S.),VIR,38596.03071,39552.1686,
Vietnam,VNM,3491.091274,3586.347302,3756.489121
Vanuatu,VUT,3076.589886,2877.520173,2996.621062
World,WLD,11320.91588,10883.07605,12236.61574
Samoa,WSM,4308.272753,4042.751224,3857.318464
Kosovo,XKX,4416.108358,4310.811183,5269.783901
"Yemen, Rep.",YEM,,,
South Africa,ZAF,6688.787271,5741.643129,7055.044776
Zambia,ZMB,1268.120941,956.8313639,1137.343633
Zimbabwe,ZWE,1421.868596,1372.696674,1773.920411
